"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 14 13:43:28 UTC 2026","Tue Apr 14 13:43:29 UTC 2026","1226","CI-CD Pipeline Suite - Grid","Chrome Tests","com.naveen.tests.ProductTest","com.naveen.tests.ProductTest","sortByPriceAscending","sortByPriceAscending",""
"passed","Tue Apr 14 13:43:25 UTC 2026","Tue Apr 14 13:43:26 UTC 2026","1092","CI-CD Pipeline Suite - Grid","Chrome Tests","com.naveen.tests.ProductTest","com.naveen.tests.ProductTest","cartBadgeIncrementsOnAdd","cartBadgeIncrementsOnAdd",""
"passed","Tue Apr 14 13:43:36 UTC 2026","Tue Apr 14 13:43:38 UTC 2026","2312","CI-CD Pipeline Suite - Grid","Chrome Tests","com.naveen.tests.CheckoutTest","com.naveen.tests.CheckoutTest","fullCheckoutFlow","fullCheckoutFlow",""
"passed","Tue Apr 14 13:43:53 UTC 2026","Tue Apr 14 13:43:55 UTC 2026","1470","CI-CD Pipeline Suite - Grid","Firefox Tests","com.naveen.tests.CartTest","com.naveen.tests.CartTest","cartBadgePersistsAcrossNavigation","cartBadgePersistsAcrossNavigation",""
"passed","Tue Apr 14 13:43:19 UTC 2026","Tue Apr 14 13:43:20 UTC 2026","1119","CI-CD Pipeline Suite - Grid","Chrome Tests","com.naveen.tests.LoginTest","com.naveen.tests.LoginTest","invalidPassword","invalidPassword",""
"passed","Tue Apr 14 13:43:21 UTC 2026","Tue Apr 14 13:43:22 UTC 2026","1103","CI-CD Pipeline Suite - Grid","Chrome Tests","com.naveen.tests.LoginTest","com.naveen.tests.LoginTest","lockedOutUser","lockedOutUser",""
"passed","Tue Apr 14 13:43:28 UTC 2026","Tue Apr 14 13:43:30 UTC 2026","1289","CI-CD Pipeline Suite - Grid","Firefox Tests","com.naveen.tests.LoginTest","com.naveen.tests.LoginTest","lockedOutUser","lockedOutUser",""
"passed","Tue Apr 14 13:43:38 UTC 2026","Tue Apr 14 13:43:40 UTC 2026","1299","CI-CD Pipeline Suite - Grid","Firefox Tests","com.naveen.tests.ProductTest","com.naveen.tests.ProductTest","cartBadgeIncrementsOnAdd","cartBadgeIncrementsOnAdd",""
"passed","Tue Apr 14 13:43:19 UTC 2026","Tue Apr 14 13:43:20 UTC 2026","1413","CI-CD Pipeline Suite - Grid","Firefox Tests","com.naveen.tests.LoginTest","com.naveen.tests.LoginTest","emptyCredentials","emptyCredentials",""
"passed","Tue Apr 14 13:43:46 UTC 2026","Tue Apr 14 13:43:47 UTC 2026","1342","CI-CD Pipeline Suite - Grid","Firefox Tests","com.naveen.tests.ProductTest","com.naveen.tests.ProductTest","sortByPriceAscending","sortByPriceAscending",""
"passed","Tue Apr 14 13:43:42 UTC 2026","Tue Apr 14 13:43:43 UTC 2026","944","CI-CD Pipeline Suite - Grid","Firefox Tests","com.naveen.tests.ProductTest","com.naveen.tests.ProductTest","inventoryItemCountIsSix","inventoryItemCountIsSix",""
"passed","Tue Apr 14 13:44:02 UTC 2026","Tue Apr 14 13:44:04 UTC 2026","2456","CI-CD Pipeline Suite - Grid","Firefox Tests","com.naveen.tests.CheckoutTest","com.naveen.tests.CheckoutTest","fullCheckoutFlow","fullCheckoutFlow",""
"passed","Tue Apr 14 13:43:23 UTC 2026","Tue Apr 14 13:43:24 UTC 2026","976","CI-CD Pipeline Suite - Grid","Chrome Tests","com.naveen.tests.LoginTest","com.naveen.tests.LoginTest","validLogin","validLogin",""
"passed","Tue Apr 14 13:43:17 UTC 2026","Tue Apr 14 13:43:18 UTC 2026","1257","CI-CD Pipeline Suite - Grid","Chrome Tests","com.naveen.tests.LoginTest","com.naveen.tests.LoginTest","emptyCredentials","emptyCredentials",""
"passed","Tue Apr 14 13:43:57 UTC 2026","Tue Apr 14 13:43:59 UTC 2026","1999","CI-CD Pipeline Suite - Grid","Firefox Tests","com.naveen.tests.CartTest","com.naveen.tests.CartTest","removeOneItemFromCart","removeOneItemFromCart",""
"passed","Tue Apr 14 13:43:49 UTC 2026","Tue Apr 14 13:43:51 UTC 2026","1479","CI-CD Pipeline Suite - Grid","Firefox Tests","com.naveen.tests.CartTest","com.naveen.tests.CartTest","addTwoItemsToCart","addTwoItemsToCart",""
"passed","Tue Apr 14 13:43:24 UTC 2026","Tue Apr 14 13:43:25 UTC 2026","1300","CI-CD Pipeline Suite - Grid","Firefox Tests","com.naveen.tests.LoginTest","com.naveen.tests.LoginTest","invalidPassword","invalidPassword",""
"passed","Tue Apr 14 13:43:34 UTC 2026","Tue Apr 14 13:43:35 UTC 2026","1471","CI-CD Pipeline Suite - Grid","Chrome Tests","com.naveen.tests.CartTest","com.naveen.tests.CartTest","removeOneItemFromCart","removeOneItemFromCart",""
"passed","Tue Apr 14 13:43:33 UTC 2026","Tue Apr 14 13:43:34 UTC 2026","1203","CI-CD Pipeline Suite - Grid","Firefox Tests","com.naveen.tests.LoginTest","com.naveen.tests.LoginTest","validLogin","validLogin",""
"passed","Tue Apr 14 13:43:30 UTC 2026","Tue Apr 14 13:43:31 UTC 2026","1262","CI-CD Pipeline Suite - Grid","Chrome Tests","com.naveen.tests.CartTest","com.naveen.tests.CartTest","addTwoItemsToCart","addTwoItemsToCart",""
"passed","Tue Apr 14 13:43:26 UTC 2026","Tue Apr 14 13:43:27 UTC 2026","1042","CI-CD Pipeline Suite - Grid","Chrome Tests","com.naveen.tests.ProductTest","com.naveen.tests.ProductTest","inventoryItemCountIsSix","inventoryItemCountIsSix",""
"passed","Tue Apr 14 13:43:32 UTC 2026","Tue Apr 14 13:43:33 UTC 2026","1319","CI-CD Pipeline Suite - Grid","Chrome Tests","com.naveen.tests.CartTest","com.naveen.tests.CartTest","cartBadgePersistsAcrossNavigation","cartBadgePersistsAcrossNavigation",""
